d,sigma,theta,bias,p
0.0035,0.06,0.35,-0.25,0
0.005,0.06,0.35,-0.25,0
0.0065,0.06,0.35,-0.25,0
0.008,0.06,0.35,-0.25,0
0.0035,0.065,0.35,-0.25,0
0.005,0.065,0.35,-0.25,0
0.0065,0.065,0.35,-0.25,0
0.008,0.065,0.35,-0.25,0
0.0035,0.07,0.35,-0.25,0
0.005,0.07,0.35,-0.25,0
0.0065,0.07,0.35,-0.25,0
0.008,0.07,0.35,-0.25,0
0.0035,0.075,0.35,-0.25,0
0.005,0.075,0.35,-0.25,0
0.0065,0.075,0.35,-0.25,0
0.008,0.075,0.35,-0.25,0
0.0035,0.06,0.5,-0.25,0
0.005,0.06,0.5,-0.25,0
0.0065,0.06,0.5,-0.25,0
0.008,0.06,0.5,-0.25,0
0.0035,0.065,0.5,-0.25,0
0.005,0.065,0.5,-0.25,0
0.0065,0.065,0.5,-0.25,0
0.008,0.065,0.5,-0.25,0
0.0035,0.07,0.5,-0.25,0
0.005,0.07,0.5,-0.25,0
0.0065,0.07,0.5,-0.25,0
0.008,0.07,0.5,-0.25,0
0.0035,0.075,0.5,-0.25,0
0.005,0.075,0.5,-0.25,0
0.0065,0.075,0.5,-0.25,0
0.008,0.075,0.5,-0.25,0
0.0035,0.06,0.65,-0.25,0
0.005,0.06,0.65,-0.25,0
0.0065,0.06,0.65,-0.25,0
0.008,0.06,0.65,-0.25,0
0.0035,0.065,0.65,-0.25,0
0.005,0.065,0.65,-0.25,0
0.0065,0.065,0.65,-0.25,0
0.008,0.065,0.65,-0.25,0
0.0035,0.07,0.65,-0.25,0
0.005,0.07,0.65,-0.25,0
0.0065,0.07,0.65,-0.25,0
0.008,0.07,0.65,-0.25,0
0.0035,0.075,0.65,-0.25,0
0.005,0.075,0.65,-0.25,0
0.0065,0.075,0.65,-0.25,0
0.008,0.075,0.65,-0.25,0
0.0035,0.06,0.35,0,0
0.005,0.06,0.35,0,1.41504e-34
0.0065,0.06,0.35,0,0
0.008,0.06,0.35,0,0
0.0035,0.065,0.35,0,4.32431e-37
0.005,0.065,0.35,0,1.20249e-15
0.0065,0.065,0.35,0,1.28577e-30
0.008,0.065,0.35,0,0
0.0035,0.07,0.35,0,2.25051e-30
0.005,0.07,0.35,0,4.33532e-10
0.0065,0.07,0.35,0,5.90466e-23
0.008,0.07,0.35,0,0
0.0035,0.075,0.35,0,9.51922e-34
0.005,0.075,0.35,0,1.53698e-14
0.0065,0.075,0.35,0,1.23662e-25
0.008,0.075,0.35,0,0
0.0035,0.06,0.8,-0.25,0
0.005,0.06,0.8,-0.25,0
0.0065,0.06,0.8,-0.25,0
0.008,0.06,0.8,-0.25,0
0.0035,0.065,0.8,-0.25,0
0.005,0.065,0.8,-0.25,0
0.0065,0.065,0.8,-0.25,0
0.008,0.065,0.8,-0.25,0
0.0035,0.07,0.8,-0.25,0
0.005,0.07,0.8,-0.25,0
0.0065,0.07,0.8,-0.25,0
0.008,0.07,0.8,-0.25,0
0.0035,0.075,0.8,-0.25,0
0.005,0.075,0.8,-0.25,0
0.0065,0.075,0.8,-0.25,0
0.008,0.075,0.8,-0.25,0
0.0035,0.06,0.5,0,0
0.005,0.06,0.5,0,2.19472e-23
0.0065,0.06,0.5,0,4.46283e-30
0.008,0.06,0.5,0,0
0.0035,0.065,0.5,0,6.81873e-34
0.005,0.065,0.5,0,2.07602e-05
0.0065,0.065,0.5,0,5.23561e-10
0.008,0.065,0.5,0,1.65353e-43
0.0035,0.07,0.5,0,7.02356e-28
0.005,0.07,0.5,0,0.997566
0.0065,0.07,0.5,0,0.00240569
0.008,0.07,0.5,0,2.33111e-32
0.0035,0.075,0.5,0,8.759e-32
0.005,0.075,0.5,0,6.70657e-06
0.0065,0.075,0.5,0,6.18957e-07
0.008,0.075,0.5,0,3.76092e-32
0.0035,0.06,0.65,0,0
0.005,0.06,0.65,0,7.32039e-32
0.0065,0.06,0.65,0,1.79422e-41
0.008,0.06,0.65,0,0
0.0035,0.065,0.65,0,1.88531e-39
0.005,0.065,0.65,0,1.01613e-12
0.0065,0.065,0.65,0,6.97257e-19
0.008,0.065,0.65,0,0
0.0035,0.07,0.65,0,3.40807e-33
0.005,0.07,0.65,0,4.36439e-07
0.0065,0.07,0.65,0,3.1746e-10
0.008,0.07,0.65,0,4.47511e-39
0.0035,0.075,0.65,0,7.65324e-37
0.005,0.075,0.65,0,1.8987e-11
0.0065,0.075,0.65,0,3.49164e-12
0.008,0.075,0.65,0,3.15621e-36
0.0035,0.06,0.35,0.25,0
0.005,0.06,0.35,0.25,0
0.0065,0.06,0.35,0.25,0
0.008,0.06,0.35,0.25,0
0.0035,0.065,0.35,0.25,0
0.005,0.065,0.35,0.25,0
0.0065,0.065,0.35,0.25,0
0.008,0.065,0.35,0.25,0
0.0035,0.07,0.35,0.25,0
0.005,0.07,0.35,0.25,0
0.0065,0.07,0.35,0.25,0
0.008,0.07,0.35,0.25,0
0.0035,0.075,0.35,0.25,0
0.005,0.075,0.35,0.25,0
0.0065,0.075,0.35,0.25,0
0.008,0.075,0.35,0.25,0
0.0035,0.06,0.8,0,0
0.005,0.06,0.8,0,0
0.0065,0.06,0.8,0,0
0.008,0.06,0.8,0,0
0.0035,0.065,0.8,0,0
0.005,0.065,0.8,0,5.9376e-37
0.0065,0.065,0.8,0,0
0.008,0.065,0.8,0,0
0.0035,0.07,0.8,0,5.60519e-45
0.005,0.07,0.8,0,1.12977e-28
0.0065,0.07,0.8,0,4.54441e-42
0.008,0.07,0.8,0,0
0.0035,0.075,0.8,0,0
0.005,0.075,0.8,0,8.55054e-31
0.0065,0.075,0.8,0,3.59909e-40
0.008,0.075,0.8,0,0
0.0035,0.06,0.5,0.25,0
0.005,0.06,0.5,0.25,0
0.0065,0.06,0.5,0.25,0
0.008,0.06,0.5,0.25,0
0.0035,0.065,0.5,0.25,0
0.005,0.065,0.5,0.25,0
0.0065,0.065,0.5,0.25,0
0.008,0.065,0.5,0.25,0
0.0035,0.07,0.5,0.25,0
0.005,0.07,0.5,0.25,0
0.0065,0.07,0.5,0.25,0
0.008,0.07,0.5,0.25,0
0.0035,0.075,0.5,0.25,0
0.005,0.075,0.5,0.25,0
0.0065,0.075,0.5,0.25,0
0.008,0.075,0.5,0.25,0
0.0035,0.06,0.65,0.25,0
0.005,0.06,0.65,0.25,0
0.0065,0.06,0.65,0.25,0
0.008,0.06,0.65,0.25,0
0.0035,0.065,0.65,0.25,0
0.005,0.065,0.65,0.25,0
0.0065,0.065,0.65,0.25,0
0.008,0.065,0.65,0.25,0
0.0035,0.07,0.65,0.25,0
0.005,0.07,0.65,0.25,0
0.0065,0.07,0.65,0.25,0
0.008,0.07,0.65,0.25,0
0.0035,0.075,0.65,0.25,0
0.005,0.075,0.65,0.25,0
0.0065,0.075,0.65,0.25,0
0.008,0.075,0.65,0.25,0
0.0035,0.06,0.35,0.5,0
0.005,0.06,0.35,0.5,0
0.0065,0.06,0.35,0.5,0
0.008,0.06,0.35,0.5,0
0.0035,0.065,0.35,0.5,0
0.005,0.065,0.35,0.5,0
0.0065,0.065,0.35,0.5,0
0.008,0.065,0.35,0.5,0
0.0035,0.07,0.35,0.5,0
0.005,0.07,0.35,0.5,0
0.0065,0.07,0.35,0.5,0
0.008,0.07,0.35,0.5,0
0.0035,0.075,0.35,0.5,0
0.005,0.075,0.35,0.5,0
0.0065,0.075,0.35,0.5,0
0.008,0.075,0.35,0.5,0
0.0035,0.06,0.8,0.25,0
0.005,0.06,0.8,0.25,0
0.0065,0.06,0.8,0.25,0
0.008,0.06,0.8,0.25,0
0.0035,0.065,0.8,0.25,0
0.005,0.065,0.8,0.25,0
0.0065,0.065,0.8,0.25,0
0.008,0.065,0.8,0.25,0
0.0035,0.07,0.8,0.25,0
0.005,0.07,0.8,0.25,0
0.0065,0.07,0.8,0.25,0
0.008,0.07,0.8,0.25,0
0.0035,0.075,0.8,0.25,0
0.005,0.075,0.8,0.25,0
0.0065,0.075,0.8,0.25,0
0.008,0.075,0.8,0.25,0
0.0035,0.06,0.5,0.5,0
0.005,0.06,0.5,0.5,0
0.0065,0.06,0.5,0.5,0
0.008,0.06,0.5,0.5,0
0.0035,0.065,0.5,0.5,0
0.005,0.065,0.5,0.5,0
0.0065,0.065,0.5,0.5,0
0.008,0.065,0.5,0.5,0
0.0035,0.07,0.5,0.5,0
0.005,0.07,0.5,0.5,0
0.0065,0.07,0.5,0.5,0
0.008,0.07,0.5,0.5,0
0.0035,0.075,0.5,0.5,0
0.005,0.075,0.5,0.5,0
0.0065,0.075,0.5,0.5,0
0.008,0.075,0.5,0.5,0
0.0035,0.06,0.65,0.5,0
0.005,0.06,0.65,0.5,0
0.0065,0.06,0.65,0.5,0
0.008,0.06,0.65,0.5,0
0.0035,0.065,0.65,0.5,0
0.005,0.065,0.65,0.5,0
0.0065,0.065,0.65,0.5,0
0.008,0.065,0.65,0.5,0
0.0035,0.07,0.65,0.5,0
0.005,0.07,0.65,0.5,0
0.0065,0.07,0.65,0.5,0
0.008,0.07,0.65,0.5,0
0.0035,0.075,0.65,0.5,0
0.005,0.075,0.65,0.5,0
0.0065,0.075,0.65,0.5,0
0.008,0.075,0.65,0.5,0
0.0035,0.06,0.8,0.5,0
0.005,0.06,0.8,0.5,0
0.0065,0.06,0.8,0.5,0
0.008,0.06,0.8,0.5,0
0.0035,0.065,0.8,0.5,0
0.005,0.065,0.8,0.5,0
0.0065,0.065,0.8,0.5,0
0.008,0.065,0.8,0.5,0
0.0035,0.07,0.8,0.5,0
0.005,0.07,0.8,0.5,0
0.0065,0.07,0.8,0.5,0
0.008,0.07,0.8,0.5,0
0.0035,0.075,0.8,0.5,0
0.005,0.075,0.8,0.5,0
0.0065,0.075,0.8,0.5,0
0.008,0.075,0.8,0.5,0
