choice,RT,p,valLeft,valRight
1,130,4.09437e-07,5,2
-1,120,2.08085e-06,0,1
-1,190,4.55083e-06,0,3
-1,150,3.25639e-07,0,4
-1,320,8.95029e-05,2,4
1,160,4.8388e-07,4,0
-1,170,6.76386e-07,1,5
-1,50,9.44463e-12,3,0
1,160,6.32799e-06,5,3
1,210,2.58774e-05,3,1
1,160,4.8388e-07,4,0
1,60,8.3523e-11,4,4
-1,460,0.00013829,1,3
-1,220,0.000878828,1,0
1,200,2.095e-05,3,1
1,140,2.49546e-06,4,2
-1,300,0.000877626,5,5
1,430,0.000525466,5,4
1,270,6.07219e-05,5,3
1,260,1.37966e-05,4,1
1,80,3.61227e-10,4,0
-1,60,2.34358e-10,1,0
-1,180,8.99459e-07,0,4
1,510,0.000610394,5,4
-1,510,0.00200178,1,1
-1,160,1.81726e-06,0,3
1,450,0.00178003,2,2
-1,170,2.58666e-06,1,4
-1,410,0.000126765,2,4
-1,100,2.84747e-08,1,4
1,140,7.92979e-06,3,2
1,100,9.15251e-08,4,2
-1,110,2.75059e-07,1,3
1,400,0.000123705,5,3
-1,100,8.26174e-07,5,5
1,220,3.11835e-05,5,3
-1,50,4.56803e-13,4,4
-1,880,0.000634957,3,4
-1,90,2.25946e-08,2,4
-1,160,6.32798e-06,3,5
1,360,0.000409932,4,3
-1,170,9.12494e-06,1,3
1,80,1.16803e-09,3,0
-1,100,9.15249e-08,1,3
1,440,0.000538717,1,0
1,160,6.32799e-06,4,2
1,140,2.36059e-05,0,0
1,470,0.00478533,3,4
-1,90,2.25946e-08,2,4
-1,230,2.26533e-06,0,4
1,170,8.91602e-05,5,5
-1,160,6.11742e-05,4,4
-1,160,6.11742e-05,3,3
1,420,0.000129564,3,1
-1,140,2.36059e-05,2,2
-1,100,2.81236e-07,3,4
1,250,4.85987e-05,3,1
1,250,2.8136e-06,5,1
1,110,2.7506e-07,2,0
1,190,1.14779e-06,4,0
-1,230,3.67906e-05,0,2
1,130,4.09437e-07,3,0
1,150,0.000109855,1,2
1,40,3.76897e-19,5,0
1,90,2.25947e-08,4,2
-1,420,0.00426473,1,0
-1,120,6.65637e-07,2,4
-1,730,1.84741e-05,2,5
-1,580,0.0021727,4,4
1,90,6.87945e-08,4,3
1,50,6.07991e-15,4,0
-1,100,9.15249e-08,3,5
1,120,5.77232e-08,4,0
-1,490,2.68035e-05,0,3
-1,170,8.916e-05,4,4
-1,160,1.19452e-07,0,5
-1,330,4.28721e-06,1,5
1,310,1.99088e-05,4,1
1,350,0.000390253,2,1
-1,560,0.0053541,5,4
-1,250,0.000168312,3,4
-1,450,0.000551175,3,4
1,100,8.26176e-07,0,0
1,370,0.000112901,5,3
1,190,1.6475e-05,4,2
-1,190,1.6475e-05,0,2
-1,290,0.000259584,2,3
-1,310,0.000950196,3,3
1,240,4.26209e-05,4,2
-1,150,3.25639e-07,1,5
1,230,3.67907e-05,3,1
1,470,0.00186258,4,4
1,190,0.00114137,1,3
1,130,1.15146e-07,4,0
-1,300,0.00028244,0,1
-1,480,0.00190053,1,1
-1,160,1.81726e-06,2,5
-1,200,0.000211276,1,1
1,140,2.03132e-07,4,0
-1,340,4.37479e-06,0,4
-1,100,2.84747e-08,1,4
-1,20,1e-20,2,5
1,210,8.68872e-05,5,4
-1,550,0.000636758,2,3
1,50,6.07991e-15,5,1
1,50,1.84473e-14,5,2
-1,70,3.12875e-10,0,2
-1,50,1.96396e-15,0,5
-1,70,9.84211e-12,0,5
1,190,4.55084e-06,4,1
1,110,8.44011e-08,4,1
-1,100,8.4686e-09,1,5
-1,100,2.81236e-07,4,5
-1,340,2.27026e-05,0,3
-1,440,0.000538715,3,4
1,130,1.37068e-06,2,0
-1,570,0.0101589,5,3
-1,610,0.00222221,2,2
-1,230,0.000125461,2,3
-1,550,0.000636758,0,1
1,240,0.000448084,5,5
-1,60,6.41391e-10,4,2
-1,180,1.25168e-05,2,4
1,430,2.68289e-05,4,1
1,50,1.27913e-12,2,3
1,40,3.37048e-18,3,0
1,240,1.10389e-05,5,2
-1,350,0.000104329,2,4
1,440,2.69488e-05,5,2
1,60,8.3523e-11,5,5
-1,400,0.00153311,4,4
1,140,6.5834e-05,0,1
1,70,2.07169e-08,2,4
1,210,8.68872e-05,1,0
-1,90,7.13017e-09,0,3
-1,60,2.90326e-11,4,5
-1,120,2.01503e-07,0,3
-1,320,0.00102185,1,1
-1,130,4.09436e-07,2,5
-1,130,1.37068e-06,0,2
1,90,2.01262e-07,3,3
-1,110,8.52622e-07,3,4
-1,410,0.000496537,1,2
1,170,9.12496e-06,3,1
1,150,3.94761e-05,1,1
1,170,8.91602e-05,5,5
1,260,0.00019075,4,3
1,50,1.59898e-13,1,0
1,350,0.00122838,5,5
1,220,0.000321107,3,3
-1,130,4.3204e-06,0,1
1,380,0.000446995,4,3
-1,120,5.7723e-08,0,4
-1,140,2.49545e-06,1,3
-1,690,0.000138009,3,5
1,500,0.00197008,5,5
-1,340,0.00116119,4,4
-1,260,0.000586595,0,0
-1,190,0.000164414,3,3
-1,320,8.95029e-05,3,5
-1,80,3.64699e-09,1,3
1,350,0.00122838,5,5
1,70,1.01775e-10,4,1
1,190,4.55084e-06,3,0
1,390,0.000120376,3,1
-1,290,0.000259584,4,5
1,240,2.54469e-06,5,1
-1,60,1.04949e-12,1,5
-1,630,0.00224856,4,4
1,490,0.00494956,3,4
1,460,0.000562861,3,2
-1,220,3.11834e-05,2,4
-1,190,1.6475e-05,0,2
1,250,4.85987e-05,3,1
-1,190,1.14779e-06,1,5
-1,90,6.29726e-10,0,5
-1,110,8.52622e-07,4,5
1,150,1.20098e-06,5,2
1,330,0.000348807,2,1
1,310,8.40866e-05,5,3
-1,290,7.2675e-05,1,3
-1,110,8.52622e-07,2,3
1,210,8.68872e-05,1,0
1,290,7.26751e-05,2,0
1,110,8.52624e-07,4,3
-1,60,8.35226e-11,1,1
1,100,2.32041e-06,3,4
-1,150,3.94761e-05,3,3
1,950,0.00224579,5,5
-1,130,1.28224e-05,2,2
-1,1010,9.5217e-05,1,3
-1,260,0.000586595,1,1
-1,100,2.40757e-09,0,5
1,400,2.61041e-05,3,0
1,120,6.65639e-07,2,0
1,320,8.95032e-05,4,2
-1,70,2.70281e-09,4,4
1,180,1.25168e-05,2,0
1,140,2.36059e-05,5,5
1,130,1.37068e-06,2,0
-1,200,5.71272e-06,1,4
1,70,9.33456e-10,3,2
-1,200,3.18413e-07,0,5
-1,180,2.11975e-07,0,5
-1,70,7.59546e-09,3,2
-1,120,2.08085e-06,4,5
-1,150,3.94761e-05,5,5
1,680,0.00229442,3,3
1,90,2.16183e-09,4,0
1,300,7.84674e-05,3,1
1,140,2.49546e-06,3,1
1,150,0.000109855,4,5
1,180,1.25168e-05,5,3
-1,430,0.000525465,0,1
1,240,4.26209e-05,4,2
-1,790,0.00874194,5,3
-1,60,2.90326e-11,4,5
1,60,2.90327e-11,4,3
1,80,3.20173e-08,1,1
-1,60,1.04949e-12,1,5
-1,280,1.64223e-05,1,4
-1,160,2.04318e-05,3,4
-1,310,8.40864e-05,0,2
1,60,9.84276e-12,5,3
-1,230,3.67906e-05,0,2
1,70,1.01775e-10,4,1
-1,130,9.43031e-05,4,2
-1,220,0.00216329,5,3
-1,120,2.08085e-06,0,1
-1,130,1.37068e-06,3,5
1,100,2.84748e-08,5,2
1,730,0.000133411,5,3
1,80,9.00298e-08,3,4
1,80,1.09961e-08,4,3
-1,390,0.00387186,1,0
-1,200,0.000581078,1,0
-1,90,1.5284e-06,5,3
-1,160,6.11742e-05,4,4
1,220,0.000105519,1,0
1,460,0.000562861,1,0
-1,50,1.59898e-13,1,2
1,110,8.52624e-07,1,0
-1,120,2.01503e-07,1,4
-1,120,2.01503e-07,2,5
1,390,0.000464329,4,3
-1,200,6.97977e-05,1,2
-1,260,0.000586595,1,1
1,160,2.04318e-05,3,2
1,320,8.95032e-05,4,2
-1,470,0.000139898,0,2
-1,100,2.84747e-08,2,5
1,130,1.15146e-07,5,1
1,180,1.25168e-05,4,2
1,130,4.32041e-06,1,0
1,300,7.84674e-05,5,3
-1,70,2.70281e-09,2,2
-1,680,0.000669876,3,4
1,90,2.25947e-08,2,0
-1,240,0.000146472,3,4
1,50,1.59898e-13,2,1
1,310,0.000305005,1,0
-1,130,1.37068e-06,3,5
1,390,0.000120376,4,2
-1,350,0.000104329,0,2
-1,80,1.16803e-09,1,4
-1,110,2.75059e-07,0,2
1,260,0.00019075,4,3
-1,590,0.000145544,3,5
-1,260,1.37965e-05,2,5
-1,1000,0.000594188,1,2
1,310,1.99088e-05,4,1
1,170,8.91602e-05,3,3
1,250,1.24265e-05,4,1
-1,240,0.00295852,3,1
1,130,4.09437e-07,5,2
1,290,0.000259584,2,1
1,490,0.00494956,0,1
1,100,2.32041e-06,3,4
1,100,2.84748e-08,3,0
1,230,2.26534e-06,5,1
1,160,0.000169854,3,4
1,120,5.77232e-08,4,0
-1,130,4.09436e-07,1,4
1,50,1.59898e-13,5,4
1,160,6.11743e-05,3,3
-1,120,6.65637e-07,1,3
1,90,6.87945e-08,4,3
-1,620,0.000662907,2,3
-1,640,0.00992694,2,0
-1,100,2.81236e-07,0,1
-1,200,5.71272e-06,1,4
-1,270,0.000658484,0,0
1,360,0.000108751,4,2
-1,170,2.58666e-06,0,3
-1,60,3.30061e-13,0,5
1,150,4.12777e-06,3,1
1,850,0.00230263,1,1
-1,320,8.95029e-05,1,3
1,160,1.81727e-06,4,1
-1,180,8.99459e-07,0,4
1,320,0.000327161,4,3
1,320,0.00622097,2,4
-1,100,2.84747e-08,2,5
-1,170,0.00323987,5,1
1,150,0.00155318,0,4
-1,160,6.32798e-06,1,3
-1,360,0.000409931,2,3
1,190,5.44626e-05,2,1
-1,200,6.97977e-05,2,3
1,120,1.56467e-08,5,0
-1,110,2.75059e-07,2,4
-1,100,2.81236e-07,4,5
1,90,2.16183e-09,5,1
1,440,0.000538717,5,4
-1,120,6.65637e-07,1,3
1,1030,9.25986e-05,4,2
-1,90,7.13017e-09,1,4
-1,70,9.84211e-12,0,5
1,110,7.05104e-06,2,3
-1,70,2.70281e-09,4,4
1,120,6.15617e-06,3,3
-1,760,0.0023208,4,4
-1,200,0.000581078,2,1
-1,200,6.97977e-05,1,2
1,170,9.12496e-06,2,0
1,830,1.46413e-05,4,1
-1,80,3.64699e-09,2,4
-1,230,9.6521e-06,0,3
1,100,2.32041e-06,2,3
-1,550,0.000636758,2,3
1,310,0.00254257,2,3
1,280,6.59266e-07,5,0
1,440,0.000538717,5,4
1,490,0.00193635,1,1
-1,470,0.000139898,2,4
-1,310,1.99087e-05,2,5
-1,130,4.3204e-06,3,4
1,160,6.32799e-06,5,3
-1,280,1.64223e-05,2,5
1,120,2.08085e-06,3,2
1,110,2.46321e-08,4,0
1,200,1.41511e-06,5,1
-1,840,0.000118719,3,5
-1,300,1.88178e-05,1,4
1,160,2.04318e-05,4,3
1,60,3.2545e-12,5,2
-1,180,1.25168e-05,3,5
-1,90,2.25946e-08,0,2
-1,450,0.000551175,2,3
1,150,4.12777e-06,3,1
1,580,0.000650756,3,2
1,90,2.16183e-09,5,1
1,170,6.76388e-07,5,1
-1,550,0.000636758,2,3
1,400,0.00400969,4,5
-1,310,0.000950196,0,0
-1,220,3.11834e-05,2,4
1,70,1.01775e-10,4,1
-1,260,0.000586595,0,0
1,290,0.00216366,2,3
1,170,2.96961e-05,5,4
1,130,1.28225e-05,1,1
-1,80,3.61226e-10,0,4
-1,190,0.000453289,3,2
1,190,5.44626e-05,2,1
-1,50,6.07988e-15,0,4
-1,230,0.000382801,0,0
1,720,0.00231381,1,1
-1,80,1.16803e-09,2,5
1,60,3.2545e-12,3,0
1,480,0.000141297,5,3
1,150,8.22802e-08,5,0
1,270,0.000213571,3,2
-1,170,1.63142e-07,0,5
-1,50,5.48585e-14,2,4
-1,170,0.000246985,3,2
-1,260,0.000586595,5,5
-1,250,0.000516244,2,2
-1,70,9.84211e-12,0,5
1,100,2.81236e-07,3,2
-1,60,2.90326e-11,4,5
1,210,6.96598e-06,4,1
-1,270,6.329e-07,0,5
-1,190,1.6475e-05,0,2
-1,70,3.12875e-10,3,5
-1,140,2.36059e-05,5,5
1,320,0.00622097,0,2
1,180,8.99461e-07,5,1
-1,60,3.25449e-12,2,5
1,520,0.00203154,4,4
-1,130,3.04862e-08,0,5
1,160,1.81727e-06,5,2
1,230,3.67907e-05,3,1
-1,300,0.00028244,2,3
-1,110,2.4632e-08,1,5
-1,280,0.000236574,1,2
-1,110,2.4632e-08,1,5
-1,160,2.04318e-05,1,2
1,110,7.05104e-06,0,1
-1,620,0.00552922,2,1
1,50,1.59898e-13,1,0
-1,280,6.67455e-05,1,3
1,200,2.095e-05,3,1
-1,50,6.07988e-15,1,5
1,130,1.15146e-07,4,0
-1,130,9.43031e-05,3,1
-1,200,6.97977e-05,0,1
-1,310,0.00254256,2,1
-1,260,0.00158953,2,1
-1,220,1.98021e-06,1,5
-1,30,2.61744e-24,4,4
1,290,0.00216366,0,1
-1,440,2.69487e-05,2,5
-1,400,0.000123705,3,5
1,50,3.51073e-12,1,3
1,390,0.00147665,4,4
1,310,4.04809e-06,4,0
-1,730,0.000667776,4,5
-1,260,0.00158953,3,2
-1,80,3.61226e-10,1,5
-1,200,2.09499e-05,3,5
1,470,0.00057379,2,1
1,220,0.000321107,0,0
-1,120,2.01503e-07,0,3
1,290,0.000804521,4,4
1,140,7.92979e-06,1,0
-1,380,0.00141788,0,0
-1,220,0.000878828,4,3
-1,370,0.0001129,0,2
1,50,6.07991e-15,4,0
-1,240,0.00122028,5,4
-1,70,3.12875e-10,0,2
1,100,8.46863e-09,5,1
-1,60,3.25449e-12,1,4
1,190,1.6475e-05,4,2
-1,250,0.000168312,3,4
1,280,1.64223e-05,5,2
-1,110,8.52622e-07,4,5
1,180,8.99461e-07,4,0
-1,160,6.11742e-05,5,5
-1,70,3.12875e-10,3,5
-1,90,6.87943e-08,3,4
-1,110,2.51396e-06,5,5
1,250,2.8136e-06,5,1
-1,210,6.96596e-06,0,3
-1,80,3.61226e-10,1,5
-1,130,1.15146e-07,0,4
-1,130,1.37068e-06,0,2
-1,60,8.35226e-11,5,5
-1,170,9.12494e-06,1,3
1,100,8.46863e-09,4,0
-1,350,0.000104329,0,2
-1,140,7.92977e-06,2,3
-1,60,8.35226e-11,1,1
1,100,2.81236e-07,4,3
-1,460,4.20263e-06,0,4
1,470,0.00057379,2,1
1,290,1.76535e-05,3,0
-1,40,1.13565e-18,1,5
1,460,2.70286e-05,3,0
-1,70,1.01774e-10,2,5
1,130,1.37068e-06,2,0
-1,350,0.00325377,2,1
-1,160,1.19452e-07,0,5
-1,110,2.51396e-06,1,1
1,170,6.76388e-07,4,0
-1,80,3.61226e-10,0,4
1,140,2.36059e-05,1,1
1,170,9.12496e-06,5,3
-1,440,0.000538715,4,5
1,150,8.22802e-08,5,0
1,250,4.85987e-05,3,1
-1,100,2.81236e-07,3,4
1,70,1.01775e-10,3,0
-1,150,1.32223e-05,0,1
1,380,0.00372723,2,3
1,110,2.7506e-07,4,2
-1,100,2.40757e-09,0,5
-1,270,6.07218e-05,1,3
1,910,0.00227194,3,3
1,150,4.12777e-06,4,2
-1,60,2.90326e-11,3,4
1,80,3.61227e-10,5,1
1,110,2.51397e-06,5,5
-1,40,8.04776e-17,0,0
1,290,0.000259584,3,2
1,110,2.46321e-08,5,1
1,510,0.000610394,5,4
-1,490,0.000593467,0,1
1,100,9.15251e-08,4,2
1,100,2.84748e-08,3,0
1,120,2.01503e-07,4,1
1,350,0.00122838,1,1
-1,70,9.33453e-10,4,5
-1,60,3.25449e-12,2,5
-1,70,7.59546e-09,2,1
-1,60,9.84272e-12,2,4
-1,90,2.25946e-08,1,3
