choice,RT,p,valLeft,valRight
-1,60,3.30061e-13,0,5
1,220,0.00216329,2,4
-1,320,8.95029e-05,0,2
-1,190,1.6475e-05,3,5
1,100,2.84748e-08,5,2
-1,60,8.35226e-11,5,5
1,110,2.51397e-06,5,5
1,100,2.84748e-08,5,2
1,690,0.00230057,5,5
-1,60,3.25449e-12,1,4
1,140,5.25371e-08,5,0
-1,290,7.2675e-05,2,4
1,90,6.87945e-08,4,3
-1,380,0.00141788,4,4
-1,110,6.83697e-09,0,5
-1,130,1.37068e-06,3,5
-1,310,8.40864e-05,3,5
1,440,0.000538717,2,1
1,180,4.10554e-05,4,3
-1,90,2.16183e-09,1,5
-1,130,4.3204e-06,2,3
-1,180,8.99459e-07,1,5
1,60,8.3523e-11,4,4
-1,370,0.0001129,3,5
1,1460,0.00178477,4,4
1,50,5.48588e-14,4,2
1,100,2.40758e-09,5,0
1,310,0.000305005,2,1
-1,250,0.000516244,0,0
-1,340,0.00692676,4,2
1,400,0.000123705,4,2
1,230,3.67907e-05,4,2
-1,390,0.00147665,2,2
1,200,5.71273e-06,5,2
1,280,0.0170196,0,4
-1,70,1.01774e-10,2,5
1,310,0.000305005,4,3
1,90,2.16183e-09,4,0
1,130,1.37068e-06,2,0
1,110,6.83699e-09,5,0
1,160,6.32799e-06,4,2
1,100,8.46863e-09,4,0
-1,80,1.09961e-08,0,1
1,130,4.09437e-07,3,0
-1,150,4.12776e-06,0,2
-1,110,2.4632e-08,0,4
-1,160,1.81726e-06,0,3
1,50,5.48588e-14,5,3
-1,140,7.92977e-06,0,1
-1,320,0.00102185,2,2
-1,260,0.000586595,2,2
-1,120,2.08085e-06,3,4
1,480,0.000583986,5,4
1,150,3.94761e-05,0,0
-1,310,0.000950196,4,4
-1,180,4.10553e-05,1,2
1,180,0.000123605,5,5
-1,90,7.13017e-09,1,4
1,160,2.04318e-05,1,0
-1,120,5.7723e-08,1,5
1,40,2.83732e-17,3,2
1,280,0.000236575,1,0
-1,50,5.48585e-14,2,4
-1,270,0.000658484,4,4
-1,80,1.16803e-09,1,4
1,140,2.36059e-05,1,1
-1,260,0.00158953,3,2
1,250,0.000516245,1,1
1,500,0.00197008,4,4
-1,220,0.000321106,1,1
-1,140,2.49545e-06,2,4
1,100,2.84748e-08,5,2
1,140,7.92979e-06,1,0
-1,40,8.04776e-17,5,5
-1,170,2.58666e-06,1,4
1,320,0.000327161,1,0
-1,100,8.26174e-07,4,4
-1,420,0.000511409,0,1
1,50,5.48588e-14,5,3
1,170,6.76388e-07,5,1
1,180,3.50247e-06,5,2
1,140,2.49546e-06,4,2
-1,590,0.000654445,2,3
-1,290,0.00504955,2,0
-1,200,0.000211276,5,5
-1,340,0.00116119,2,2
-1,170,0.000246985,2,1
1,90,6.29728e-10,5,0
-1,140,2.49545e-06,2,4
1,140,7.35638e-07,3,0
-1,550,0.000636758,2,3
1,70,3.2128e-11,5,1
-1,220,3.11834e-05,1,3
-1,760,0.0023208,0,0
1,290,1.76535e-05,4,1
1,220,8.28697e-06,4,1
-1,130,4.3204e-06,2,3
-1,150,8.228e-08,0,5
1,90,2.25947e-08,2,0
1,110,2.46321e-08,5,1
1,240,0.00122028,3,4
1,260,0.00158953,3,4
1,120,6.65639e-07,5,3
1,170,9.12496e-06,5,3
1,430,0.00168832,0,0
-1,90,2.01262e-07,0,0
-1,200,6.97977e-05,2,3
1,460,0.00013829,5,3
1,90,2.01262e-07,2,2
-1,190,0.000164414,0,0
-1,310,1.99087e-05,0,3
1,90,5.65784e-07,4,5
-1,100,2.81236e-07,2,3
1,60,3.2545e-12,3,0
-1,260,0.00019075,4,5
-1,160,2.04318e-05,3,4
1,250,0.000516245,2,2
-1,310,0.000950196,5,5
1,110,2.51397e-06,4,4
1,240,4.26209e-05,3,1
-1,50,1.96396e-15,0,5
1,60,1.04949e-12,4,0
-1,130,4.09436e-07,0,3
-1,150,1.32223e-05,4,5
-1,150,0.000109855,5,4
-1,230,3.67906e-05,2,4
1,140,2.49546e-06,3,1
-1,340,9.96398e-05,3,5
1,90,7.13019e-09,5,2
1,470,0.00057379,1,0
1,370,0.00135685,2,2
1,100,8.26176e-07,2,2
1,110,8.52624e-07,4,3
-1,150,3.25639e-07,1,5
-1,190,4.55083e-06,0,3
-1,630,0.00224856,2,2
1,150,4.12777e-06,2,0
-1,280,0.000236574,2,3
1,590,0.00545857,1,2
-1,80,1.09961e-08,4,5
1,180,4.10554e-05,4,3
1,230,3.67907e-05,2,0
-1,800,0.000124269,3,5
-1,130,4.3204e-06,2,3
1,110,2.46321e-08,4,0
-1,590,0.000654445,4,5
1,80,1.09961e-08,4,3
-1,270,6.07218e-05,1,3
1,100,2.81236e-07,5,4
-1,480,0.000583984,0,1
1,370,0.00135685,1,1
1,170,0.000246985,1,2
-1,690,0.00230057,3,3
1,160,2.04318e-05,3,2
1,390,0.000120376,2,0
1,140,2.36059e-05,3,3
-1,90,6.29726e-10,0,5
-1,120,1.72372e-05,1,0
1,150,1.32223e-05,1,0
-1,140,7.92977e-06,0,1
1,470,0.00186258,3,3
-1,200,1.4151e-06,1,5
-1,40,3.37049e-18,2,5
1,520,0.00203154,0,0
-1,510,0.00200178,4,4
-1,330,9.46935e-05,1,3
1,150,1.20098e-06,3,0
1,170,2.96961e-05,3,2
1,430,0.000525466,5,4
1,150,4.12777e-06,3,1
-1,60,2.90326e-11,0,1
1,210,2.58774e-05,5,3
-1,120,2.01503e-07,0,3
1,500,0.000602264,3,2
-1,120,6.65637e-07,2,4
-1,90,6.87943e-08,1,2
1,80,3.20173e-08,2,2
-1,290,0.000804519,3,3
-1,310,0.00254256,1,0
-1,250,1.24265e-05,2,5
1,640,0.0128651,0,3
1,490,0.000593469,1,0
1,130,3.58342e-05,2,3
1,680,0.000139053,3,1
1,440,0.000538717,5,4
1,100,2.32041e-06,3,4
1,80,9.00298e-08,4,5
1,200,0.000211276,2,2
1,100,9.15251e-08,3,1
1,150,1.32223e-05,4,3
-1,190,1.6475e-05,0,2
-1,80,1.16803e-09,0,3
-1,70,3.21279e-11,1,5
-1,370,0.0001129,0,2
1,220,8.28697e-06,5,2
1,120,2.01503e-07,5,2
1,180,8.99461e-07,4,0
1,60,2.34359e-10,2,3
1,150,3.94761e-05,0,0
-1,150,1.32223e-05,1,2
1,60,3.30063e-13,5,0
1,100,2.84748e-08,4,1
-1,470,0.000573789,1,2
-1,70,3.21279e-11,1,5
-1,410,2.64102e-05,2,5
1,170,2.96961e-05,4,3
1,280,0.000236575,1,0
1,490,0.00494956,0,1
1,400,0.000480845,3,2
1,90,6.87945e-08,5,4
-1,190,0.000164414,0,0
1,90,2.25947e-08,2,0
-1,190,1.14779e-06,1,5
1,280,0.00073131,0,0
-1,250,0.000168312,1,2
-1,30,1.32454e-26,0,5
1,120,2.08085e-06,4,3
-1,360,0.000409931,3,4
-1,340,0.00116119,2,2
-1,70,3.21279e-11,0,4
-1,130,4.09436e-07,0,3
1,820,0.00543521,3,4
-1,340,0.00116119,4,4
1,150,1.32223e-05,4,3
1,200,0.000211276,3,3
1,210,2.58774e-05,3,1
-1,410,0.00414063,1,0
1,670,2.0936e-05,3,0
-1,190,4.55083e-06,2,5
1,250,0.000168312,3,2
1,150,1.32223e-05,4,3
1,150,4.12777e-06,2,0
1,200,0.000581079,4,5
-1,60,9.84272e-12,1,3
1,120,2.08085e-06,3,2
1,680,0.00229442,4,4
1,210,2.58774e-05,4,2
1,50,1.84473e-14,5,2
-1,110,2.75059e-07,3,5
1,120,2.08085e-06,3,2
1,100,2.84748e-08,3,0
-1,50,4.56803e-13,4,4
1,340,0.00036986,2,1
1,250,2.8136e-06,5,1
-1,80,3.20172e-08,0,0
-1,150,1.32223e-05,4,5
-1,50,4.56803e-13,5,5
-1,70,1.01774e-10,1,4
1,110,2.51397e-06,4,4
1,280,6.67457e-05,4,2
1,210,2.58774e-05,4,2
1,190,1.6475e-05,4,2
-1,230,0.000125461,0,1
-1,370,0.000428855,0,1
-1,60,8.35226e-11,5,5
1,370,0.00357588,1,2
-1,100,2.84747e-08,0,3
1,220,0.000321107,5,5
-1,250,5.64092e-07,0,5
1,80,3.647e-09,3,1
1,200,6.97979e-05,3,2
1,110,6.83699e-09,5,0
-1,220,0.000105519,4,5
-1,50,4.56803e-13,3,3
-1,270,6.07218e-05,1,3
1,40,8.04783e-17,0,0
1,170,2.58666e-06,5,2
1,70,3.12876e-10,3,1
-1,390,0.000464328,3,4
-1,320,0.0121266,4,1
1,490,0.00193635,1,1
-1,100,2.81236e-07,1,2
1,80,3.20173e-08,1,1
-1,170,2.58666e-06,0,3
1,300,0.000877628,4,4
1,90,6.87945e-08,3,2
1,60,3.30063e-13,5,0
-1,340,2.27026e-05,1,4
-1,170,2.9696e-05,0,1
-1,100,8.4686e-09,1,5
-1,230,3.67906e-05,2,4
1,190,0.00045329,3,4
1,200,2.095e-05,4,2
1,90,2.25947e-08,5,3
-1,120,6.65637e-07,1,3
1,140,2.36059e-05,0,0
-1,290,3.72043e-06,0,4
-1,60,8.35226e-11,4,4
1,220,3.11835e-05,4,2
-1,80,1.0787e-10,0,5
1,130,1.37068e-06,2,0
1,130,4.09437e-07,3,0
-1,320,4.17854e-06,1,5
-1,80,3.64699e-09,0,2
-1,480,2.69198e-05,0,3
1,130,4.09437e-07,3,0
-1,120,6.65637e-07,2,4
-1,340,9.96398e-05,3,5
-1,170,6.76386e-07,0,4
-1,60,9.84272e-12,3,5
1,1460,0.00178477,1,1
1,210,0.00179451,0,2
-1,70,1.01774e-10,0,3
-1,340,0.000369859,1,2
-1,120,6.15616e-06,4,4
1,250,4.85987e-05,4,2
-1,140,2.49545e-06,1,3
1,260,1.37966e-05,4,1
1,90,2.16183e-09,5,1
-1,120,5.7723e-08,0,4
-1,170,2.9696e-05,0,1
-1,260,5.46537e-05,0,2
-1,100,2.81236e-07,2,3
1,490,0.000593469,1,0
1,100,9.15251e-08,4,2
-1,120,2.01503e-07,2,5
1,200,2.095e-05,3,1
1,400,0.00400969,2,3
-1,120,1.72372e-05,1,0
1,220,8.28697e-06,3,0
1,130,1.28225e-05,3,3
-1,210,6.96596e-06,2,5
-1,1210,0.000515383,1,2
1,370,0.00135685,3,3
-1,220,0.000878828,1,0
-1,160,4.83879e-07,0,4
1,90,5.65784e-07,0,1
1,150,3.94761e-05,3,3
-1,130,1.37068e-06,2,4
1,120,5.77232e-08,5,1
1,110,8.44011e-08,4,1
-1,400,0.00153311,3,3
-1,160,4.83879e-07,1,5
1,110,0.000264959,0,5
-1,140,2.03131e-07,0,4
-1,420,2.66506e-05,2,5
-1,350,0.000104329,0,2
1,120,6.65639e-07,4,2
-1,350,0.000104329,3,5
-1,420,2.66506e-05,2,5
-1,320,0.00102185,3,3
1,120,1.56467e-08,5,0
1,550,0.00063676,1,0
-1,200,1.4151e-06,0,4
1,280,0.000236575,1,0
-1,130,1.37068e-06,2,4
1,350,0.000104329,4,2
-1,130,4.09436e-07,1,4
-1,180,8.99459e-07,1,5
1,320,8.95032e-05,3,1
-1,280,1.64223e-05,0,3
1,180,0.000123605,5,5
-1,90,6.87943e-08,4,5
-1,390,0.00147665,0,0
1,80,3.647e-09,3,1
-1,30,3.94041e-26,1,5
1,200,5.71273e-06,5,2
1,260,6.01137e-07,5,0
-1,170,8.916e-05,1,1
1,250,0.0033743,1,3
-1,270,1.5133e-05,2,5
1,120,6.65639e-07,5,3
1,240,4.26209e-05,2,0
1,70,1.01775e-10,4,1
1,110,2.7506e-07,5,3
-1,250,1.24265e-05,1,4
1,410,0.00158721,2,2
1,300,0.000877628,5,5
-1,130,9.43031e-05,5,3
-1,210,0.000263707,5,5
-1,210,0.000263707,1,1
-1,70,3.12875e-10,1,3
1,70,1.01775e-10,5,2
1,140,2.36059e-05,5,5
-1,100,9.15249e-08,2,4
-1,190,1.14779e-06,1,5
1,270,0.000658486,5,5
1,570,0.00215329,2,2
-1,60,3.30061e-13,0,5
-1,100,2.40757e-09,0,5
1,580,0.000650756,5,4
1,160,1.81727e-06,3,0
1,30,3.38575e-25,3,1
-1,360,2.41526e-05,1,4
-1,180,0.000341593,1,0
-1,250,4.85986e-05,3,5
1,510,0.00509082,0,1
1,130,1.37068e-06,3,1
1,400,0.000480845,2,1
-1,160,2.04318e-05,0,1
-1,110,8.52622e-07,3,4
1,540,0.00014582,5,3
1,150,1.32223e-05,5,4
1,490,0.00494956,0,1
-1,90,2.16183e-09,1,5
-1,220,0.000105519,3,4
1,180,2.11976e-07,5,0
1,410,0.000126766,3,1
-1,270,0.00021357,4,5
-1,760,0.0023208,3,3
1,60,1.04949e-12,4,0
-1,140,7.92977e-06,3,4
-1,80,1.0787e-10,0,5
-1,50,6.07988e-15,1,5
1,250,1.24265e-05,3,0
-1,200,0.000211276,5,5
1,70,3.2128e-11,5,1
1,30,3.38575e-25,4,2
-1,140,2.49545e-06,0,2
1,260,1.37966e-05,5,2
1,160,0.000169854,0,1
-1,260,1.37965e-05,1,4
1,480,0.000141297,4,2
-1,470,2.69959e-05,2,5
-1,210,8.6887e-05,1,2
-1,40,3.37049e-18,1,4
-1,70,9.33453e-10,2,3
1,70,9.84215e-12,5,0
1,80,6.41255e-07,2,5
-1,310,0.000305005,0,1
1,280,0.0170196,1,5
-1,150,4.12776e-06,3,5
-1,120,6.15616e-06,1,1
1,80,1.0787e-10,5,0
1,130,3.04863e-08,5,0
1,250,1.24265e-05,3,0
-1,120,2.01503e-07,1,4
1,70,1.01775e-10,5,2
1,70,1.01775e-10,4,1
-1,40,3.37049e-18,0,3
-1,110,8.44009e-08,2,5
1,90,6.29728e-10,5,0
-1,130,3.58342e-05,5,4
-1,640,0.000666578,2,3
-1,260,5.46537e-05,3,5
1,160,6.11743e-05,1,1
1,230,0.000125462,5,4
1,120,6.65639e-07,2,0
-1,170,2.58666e-06,1,4
-1,230,0.000125461,3,4
-1,60,3.30061e-13,0,5
-1,200,2.09499e-05,1,3
1,160,0.000437365,0,2
1,300,0.00235433,1,2
-1,370,0.00135685,5,5
1,120,2.01503e-07,4,1
-1,60,3.30061e-13,0,5
-1,50,1.59898e-13,0,1
-1,80,3.20172e-08,3,3
-1,480,0.000583984,4,5
-1,180,8.99459e-07,0,4
1,100,2.81236e-07,2,1
-1,160,6.32798e-06,1,3
-1,130,4.09436e-07,2,5
-1,170,8.916e-05,0,0
1,190,2.64308e-07,5,0
1,60,1.04949e-12,5,1
1,210,6.96598e-06,5,2
-1,150,3.94761e-05,4,4
1,160,1.81727e-06,3,0
-1,510,0.000610392,3,4
-1,450,0.00178002,1,1
-1,130,1.28224e-05,2,2
1,710,0.000669343,1,0
1,80,3.20173e-08,1,1
-1,60,2.90326e-11,4,5
-1,190,2.64308e-07,0,5
-1,310,0.000305005,0,1
1,350,0.000390253,5,4
1,40,9.85327e-18,4,2
1,80,3.20173e-08,5,5
-1,150,1.32223e-05,1,2
1,400,0.00400969,0,1
1,80,3.647e-09,2,0
1,60,9.84276e-12,4,2
-1,260,0.000586595,1,1
1,180,1.25168e-05,4,2
-1,260,1.37965e-05,1,4
1,170,9.12496e-06,2,0
1,30,1.17834e-25,3,0
-1,80,3.61226e-10,0,4
1,170,9.12496e-06,3,1
1,130,4.09437e-07,5,2
-1,190,1.14779e-06,1,5
1,280,6.67457e-05,5,3
-1,40,3.37049e-18,2,5
1,190,1.6475e-05,2,0
1,280,0.00197174,0,1
1,450,0.0045966,1,2
1,260,0.000586596,5,5
1,220,1.98021e-06,5,1
-1,90,6.87943e-08,2,3
-1,100,2.84747e-08,1,4
1,60,3.2545e-12,5,2
-1,180,8.99459e-07,0,4
-1,540,0.00208544,4,4
1,390,0.000120376,4,2
1,140,2.49546e-06,2,0
1,400,0.00153311,0,0
-1,530,0.000145478,0,2
-1,550,0.000146017,0,2
1,90,6.87945e-08,3,2
